SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,170 Norwood Rd,Silver Spring,MD,20905,450000,,,COLESVILLE OUTSIDE,,54014,,27,,,Active,,,https://www.redfin.com/MD/Silver-Spring/170-Norwood-Rd-20905/home/10555428,BRIGHT MLS,MDMC2023376,N,Y,39.110862,-77.010845
MLS Listing,,Condo/Co-op,700 Roeder Rd #202,Silver Spring,MD,20910,397400,1,1.0,DOWNTOWN SILVER SPRING,639,,1981,28,622,180,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-202/home/175622288,BRIGHT MLS,MDMC2023314,N,Y,38.9987453,-77.0250032
MLS Listing,,Single Family Residential,15401 Baileys Ln,Silver Spring,MD,20906,749900,4,3.5,NORBECK HILLS,3598,20914,1985,30,208,,Active,,,https://www.redfin.com/MD/Silver-Spring/15401-Baileys-Ln-20906/home/11128632,BRIGHT MLS,MDMC2017774,N,Y,39.108939,-77.061191
MLS Listing,,Condo/Co-op,12001 Old Columbia Pike #803,Silver Spring,MD,20904,150000,1,1.0,COLUMBIA TOWERS,774,,1975,31,194,549,Active,,,https://www.redfin.com/MD/Silver-Spring/12001-Old-Columbia-Pike-20904/unit-803/home/177177432,BRIGHT MLS,MDMC2023036,N,Y,39.0518531,-76.9747565
MLS Listing,,Single Family Residential,9901 Gardiner Ave,Silver Spring,MD,20902,649900,4,2.0,FOREST GLEN INV CO,1740,7500,1956,31,374,,Active,,,https://www.redfin.com/MD/Silver-Spring/9901-Gardiner-Ave-20902/home/10957700,BRIGHT MLS,MDMC2023120,N,Y,39.0173046,-77.0495351
MLS Listing,,Condo/Co-op,700 Roeder Rd #405,Silver Spring,MD,20910,324900,1,1.0,DOWNTOWN SILVER SPRING,598,,1981,31,543,168,Active,,,https://www.redfin.com/MD/Silver-Spring/700-Roeder-Rd-20910/unit-405/home/177174021,BRIGHT MLS,MDMC2023140,N,Y,38.9987453,-77.0250032
MLS Listing,,Single Family Residential,12304 Blakely Ct,Silver Spring,MD,20904,539999,6,3.0,CALVERTON,2564,14136,1967,31,211,,Active,,,https://www.redfin.com/MD/Silver-Spring/12304-Blakely-Ct-20904/home/10572372,BRIGHT MLS,MDMC2022004,N,Y,39.0587909,-76.9501954
MLS Listing,,Single Family Residential,10405 Kinloch Rd,Silver Spring,MD,20903,599900,4,3.0,HILLANDALE,1989,11761,1963,32,302,,Active,,,https://www.redfin.com/MD/Silver-Spring/10405-Kinloch-Rd-20903/home/10559377,BRIGHT MLS,MDMC2020458,N,Y,39.0259114,-76.9688292
MLS Listing,,Single Family Residential,1202 Edgevale Rd,Silver Spring,MD,20910,1150000,5,3.5,WOODSIDE PARK,3655,8972,1991,32,315,,Active,,,https://www.redfin.com/MD/Silver-Spring/1202-Edgevale-Rd-20910/home/11138467,BRIGHT MLS,MDMC2022790,N,Y,39.0074721,-77.0265129
MLS Listing,,Single Family Residential,10512 Edgewood Ave,Silver Spring,MD,20901,550000,3,2.5,NORTHWOOD KNOLLS,1560,6820,1956,32,353,,Active,,,https://www.redfin.com/MD/Silver-Spring/10512-Edgewood-Ave-20901/home/11065023,BRIGHT MLS,MDMC2022878,N,Y,39.0281242,-77.0178306
MLS Listing,,Townhouse,12706 Epping Unit 9B,Silver Spring,MD,20906,325000,3,2.5,GLENMONT HEIGHTS CODM,1296,,1966,33,251,437,Active,,,https://www.redfin.com/MD/Silver-Spring/12706-Epping-Ter-20906/unit-9B/home/11010019,BRIGHT MLS,MDMC2001269,N,Y,39.064459,-77.0571301
MLS Listing,,Single Family Residential,827 Philadelphia Ave,Silver Spring,MD,20910,750000,4,2.5,BLAIR,2228,7308,1903,33,337,,Active,,,https://www.redfin.com/MD/Silver-Spring/827-Philadelphia-Ave-20910/home/10953337,BRIGHT MLS,MDMC2022820,N,Y,38.9879182,-77.0229591
MLS Listing,,Single Family Residential,1009 Noyes Dr,Silver Spring,MD,20910,1300000,4,4.5,WOODSIDE PARK,2388,6717,1935,34,544,,Active,,,https://www.redfin.com/MD/Silver-Spring/1009-Noyes-Dr-20910/home/11079893,BRIGHT MLS,MDMC2022512,N,Y,39.0007009,-77.0265129
MLS Listing,,Single Family Residential,634 Mississippi Ave,Silver Spring,MD,20910,1375000,4,3.5,BLAIR,3700,7200,2021,35,372,,Active,,,https://www.redfin.com/MD/Silver-Spring/634-Mississippi-Ave-20910/home/10953994,BRIGHT MLS,MDMC2022508,N,Y,38.9902275,-77.0157162
MLS Listing,,Townhouse,3820 Chesterwood Dr #3820,Silver Spring,MD,20906,300000,2,1.5,MONTGOMERY CHASE CODM,1310,,1983,35,229,187,Active,,,https://www.redfin.com/MD/Aspen-Hill/3820-Chesterwood-Dr-20906/unit-3820/home/11210497,BRIGHT MLS,MDMC2022454,N,Y,39.087304,-77.0766476
